area,month,B8_mean,B8A_mean
Combined_roi,2023-01,5019.676996647115,5231.527269590184
Combined_roi,2023-02,4759.521658469883,4958.903286580244
Combined_roi,2023-03,4708.769825102556,5053.757525381997
Combined_roi,2023-04,4803.164461640763,5123.276564490838
Combined_roi,2023-05,5311.05774251424,5609.679718472639
Combined_roi,2023-06,4690.039287970554,4991.334317657357
Combined_roi,2023-07,4801.925006504792,5161.476058642866
Combined_roi,2023-08,4630.0126093957215,4955.634202908944
Combined_roi,2023-09,5022.715355580031,5365.849666977979
Combined_roi,2023-10,5387.040082739543,5744.059783573444
Combined_roi,2023-11,4929.568423690494,5195.675035481434
Combined_roi,2023-12,4593.8845290246845,4912.552708248464
